,playerID,Name,AB,H,average,Empirical Bayes Estimate,alpha1,beta1,PEP,Cumulative Mean
3969,hornsro01,Rogers Hornsby,8173,2930,0.358497491741,0.354024371583,3047.98357784,5561.54678928,2.44307477512e-27,2.44307477512e-27
2125,delahed01,Ed Delahanty,7505,2596,0.345902731512,0.341745665178,2713.98357784,5227.54678928,5.44633453455e-16,2.72316726729e-16
4442,keelewi01,Willie Keeler,8591,2932,0.341287393784,0.337853593819,3049.98357784,5977.54678928,4.30188152205e-15,1.61550499183e-15
4149,jacksjo01,Shoeless Joe Jackson,4981,1772,0.355751857057,0.348864417875,1889.98357784,3527.54678928,5.18029325242e-15,2.50670205698e-15
4751,lajoina01,Nap Lajoie,9589,3242,0.338095734696,0.335142726101,3359.98357784,6665.54678928,1.52482923303e-14,5.05502011165e-15
3430,gwynnto01,Tony Gwynn,9288,3141,0.338178294574,0.335130176452,3258.98357784,6465.54678928,3.75676867486e-14,1.04737978845e-14
3692,heilmha01,Harry Heilmann,7787,2660,0.341594965969,0.337809122582,2777.98357784,5445.54678928,7.01952679254e-14,1.90054364617e-14
3028,gehrilo01,Lou Gehrig,8001,2721,0.340082489689,0.336470916763,2838.98357784,5598.54678928,2.43195237229e-13,4.70291615576e-14
3500,hamilbi01,Billy Hamilton,6268,2158,0.344288449266,0.339469500952,2275.98357784,4428.54678928,1.61081833444e-12,2.207835141e-13
1655,collied01,Eddie Collins,9949,3315,0.333199316514,0.330554478827,3432.98357784,6952.54678928,8.46364305477e-12,1.04506946817e-12
8547,terrybi01,Bill Terry,6428,2193,0.341163658992,0.336655743984,2310.98357784,4553.54678928,2.82666671983e-11,3.5197601709e-12
8991,wanerpa01,Paul Waner,9459,3152,0.333227613913,0.330450562681,3269.98357784,6625.54678928,2.92810838347e-11,5.66653714289e-12
7930,simmoal01,Al Simmons,8759,2927,0.334170567416,0.3311373522,3044.98357784,6150.54678928,5.50062499017e-11,9.4618996628e-12
1300,carewro01,Rod Carew,9315,3053,0.327750939345,0.325178044724,3170.98357784,6580.54678928,3.68876911863e-08,2.64362113442e-09
5297,manushe01,Heinie Manush,7654,2524,0.329762215835,0.326552581594,2641.98357784,5448.54678928,1.18801055585e-07,1.03874500978e-08
8606,thompsa01,Sam Thompson,5984,1979,0.330715240642,0.326605974575,2096.98357784,4323.54678928,1.9973914856e-06,1.34575202317e-07
8276,stephri01,Riggs Stephenson,4508,1515,0.336069210293,0.330260602443,1632.98357784,3311.54678928,2.13591669538e-06,2.52301172497e-07
5692,medwijo01,Joe Medwick,7635,2471,0.323641126392,0.320754982028,2588.98357784,5482.54678928,2.6687391312e-05,1.72091729136e-06
2242,dimagjo01,Joe DiMaggio,6821,2214,0.324585837854,0.321319162288,2331.98357784,4925.54678928,4.16937225314e-05,3.82474914609e-06
2374,duffyhu01,Hugh Duffy,7042,2282,0.324055666004,0.320916471556,2399.98357784,5078.54678928,4.44664025767e-05,5.85683181762e-06
5587,mcgrajo01,John McGraw,3924,1309,0.333588175331,0.327250003487,1426.98357784,2933.54678928,5.00022595116e-05,7.95899504115e-06
8267,stenzja01,Jake Stenzel,3024,1024,0.338624338624,0.330002472654,1141.98357784,2318.54678928,6.87904889308e-05,1.07240629452e-05
7450,roushed01,Edd Roush,7363,2376,0.32269455385,0.319760736923,2493.98357784,5305.54678928,7.77027871472e-05,1.36361813888e-05
3027,gehrich01,Charlie Gehringer,8860,2839,0.320428893905,0.318073890051,2956.98357784,6339.54678928,7.87469718305e-05,1.63491309905e-05
1208,cabremi01,Miguel Cabrera,7853,2519,0.320769132815,0.318110129411,2636.98357784,5652.54678928,0.000174971359598,2.26940201348e-05
1675,combsea01,Earle Combs,5746,1866,0.32474765054,0.320901550018,1983.98357784,4198.54678928,0.000185339105977,2.89496003595e-05
3745,hermaba01,Babe Herman,5603,1818,0.324469034446,0.320552006557,1935.98357784,4103.54678928,0.000270005440186,3.78775944272e-05
